2025-11-11 10:05:42 | INFO | 💾 ข้อความที่เก็บไว้: 0
2025-11-11 10:05:42 | INFO | ================================
2025-11-11 10:06:12 | INFO | 📊 ===== สถิติ MQTT Broker =====
2025-11-11 10:06:12 | INFO | 🕒 เวลาทำงาน: 0:05:00.099858
2025-11-11 10:06:12 | INFO | 🔗 การเชื่อมต่อทั้งหมด: 0
2025-11-11 10:06:12 | INFO | 🟢 การเชื่อมต่อปัจจุบัน: 0
2025-11-11 10:06:12 | INFO | 📨 ข้อความทั้งหมด: 0
2025-11-11 10:06:12 | INFO | 📥 subscription ทั้งหมด: 0
2025-11-11 10:06:12 | INFO | 📂 Topic ที่มีการใช้งาน: 0
2025-11-11 10:06:12 | INFO | 💾 ข้อความที่เก็บไว้: 0
2025-11-11 10:06:12 | INFO | ================================
2025-11-11 10:06:42 | INFO | 📊 ===== สถิติ MQTT Broker =====
2025-11-11 10:06:42 | INFO | 🕒 เวลาทำงาน: 0:05:30.102170
2025-11-11 10:06:42 | INFO | 🔗 การเชื่อมต่อทั้งหมด: 0
2025-11-11 10:06:42 | INFO | 🟢 การเชื่อมต่อปัจจุบัน: 0
2025-11-11 10:06:42 | INFO | 📨 ข้อความทั้งหมด: 0
2025-11-11 10:06:42 | INFO | 📥 subscription ทั้งหมด: 0
2025-11-11 10:06:42 | INFO | 📂 Topic ที่มีการใช้งาน: 0
2025-11-11 10:06:42 | INFO | 💾 ข้อความที่เก็บไว้: 0
2025-11-11 10:06:42 | INFO | ================================
2025-11-11 10:07:12 | INFO | 📊 ===== สถิติ MQTT Broker =====
2025-11-11 10:07:12 | INFO | 🕒 เวลาทำงาน: 0:06:00.103927
2025-11-11 10:07:12 | INFO | 🔗 การเชื่อมต่อทั้งหมด: 0
2025-11-11 10:07:12 | INFO | 🟢 การเชื่อมต่อปัจจุบัน: 0
2025-11-11 10:07:12 | INFO | 📨 ข้อความทั้งหมด: 0
2025-11-11 10:07:12 | INFO | 📥 subscription ทั้งหมด: 0
2025-11-11 10:07:12 | INFO | 📂 Topic ที่มีการใช้งาน: 0
2025-11-11 10:07:12 | INFO | 💾 ข้อความที่เก็บไว้: 0
2025-11-11 10:07:12 | INFO | ================================
2025-11-11 10:07:42 | INFO | 📊 ===== สถิติ MQTT Broker =====
2025-11-11 10:07:42 | INFO | 🕒 เวลาทำงาน: 0:06:30.109779
2025-11-11 10:07:42 | INFO | 🔗 การเชื่อมต่อทั้งหมด: 0
2025-11-11 10:07:42 | INFO | 🟢 การเชื่อมต่อปัจจุบัน: 0
2025-11-11 10:07:42 | INFO | 📨 ข้อความทั้งหมด: 0
2025-11-11 10:07:42 | INFO | 📥 subscription ทั้งหมด: 0
2025-11-11 10:07:42 | INFO | 📂 Topic ที่มีการใช้งาน: 0
2025-11-11 10:07:42 | INFO | 💾 ข้อความที่เก็บไว้: 0
2025-11-11 10:07:42 | INFO | ================================
2025-11-11 10:08:12 | INFO | 📊 ===== สถิติ MQTT Broker =====
2025-11-11 10:08:12 | INFO | 🕒 เวลาทำงาน: 0:07:00.116865
2025-11-11 10:08:13 | INFO | 🔗 การเชื่อมต่อทั้งหมด: 0
2025-11-11 10:08:13 | INFO | 🟢 การเชื่อมต่อปัจจุบัน: 0
2025-11-11 10:08:13 | INFO | 📨 ข้อความทั้งหมด: 0
2025-11-11 10:08:13 | INFO | 📥 subscription ทั้งหมด: 0
2025-11-11 10:08:13 | INFO | 📂 Topic ที่มีการใช้งาน: 0
2025-11-11 10:08:13 | INFO | 💾 ข้อความที่เก็บไว้: 0
2025-11-11 10:08:13 | INFO | ================================
2025-11-11 10:08:43 | INFO | 📊 ===== สถิติ MQTT Broker =====
2025-11-11 10:08:43 | INFO | 🕒 เวลาทำงาน: 0:07:30.197815
2025-11-11 10:08:43 | INFO | 🔗 การเชื่อมต่อทั้งหมด: 0
2025-11-11 10:08:43 | INFO | 🟢 การเชื่อมต่อปัจจุบัน: 0
2025-11-11 10:08:43 | INFO | 📨 ข้อความทั้งหมด: 0
2025-11-11 10:08:43 | INFO | 📥 subscription ทั้งหมด: 0
2025-11-11 10:08:43 | INFO | 📂 Topic ที่มีการใช้งาน: 0
2025-11-11 10:08:43 | INFO | 💾 ข้อความที่เก็บไว้: 0
2025-11-11 10:08:43 | INFO | ================================
2025-11-11 10:09:13 | INFO | 📊 ===== สถิติ MQTT Broker =====
2025-11-11 10:09:13 | INFO | 🕒 เวลาทำงาน: 0:08:00.199569
2025-11-11 10:09:13 | INFO | 🔗 การเชื่อมต่อทั้งหมด: 0
2025-11-11 10:09:13 | INFO | 🟢 การเชื่อมต่อปัจจุบัน: 0
2025-11-11 10:09:13 | INFO | 📨 ข้อความทั้งหมด: 0
2025-11-11 10:09:13 | INFO | 📥 subscription ทั้งหมด: 0
2025-11-11 10:09:13 | INFO | 📂 Topic ที่มีการใช้งาน: 0
2025-11-11 10:09:13 | INFO | 💾 ข้อความที่เก็บไว้: 0
2025-11-11 10:09:13 | INFO | ================================
2025-11-11 10:09:43 | INFO | 📊 ===== สถิติ MQTT Broker =====
2025-11-11 10:09:43 | INFO | 🕒 เวลาทำงาน: 0:08:30.201970
2025-11-11 10:09:43 | INFO | 🔗 การเชื่อมต่อทั้งหมด: 0
2025-11-11 10:09:43 | INFO | 🟢 การเชื่อมต่อปัจจุบัน: 0
2025-11-11 10:09:43 | INFO | 📨 ข้อความทั้งหมด: 0
2025-11-11 10:09:43 | INFO | 📥 subscription ทั้งหมด: 0
2025-11-11 10:09:43 | INFO | 📂 Topic ที่มีการใช้งาน: 0
2025-11-11 10:09:43 | INFO | 💾 ข้อความที่เก็บไว้: 0
2025-11-11 10:09:43 | INFO | ================================
2025-11-11 10:10:13 | INFO | 📊 ===== สถิติ MQTT Broker =====
2025-11-11 10:10:13 | INFO | 🕒 เวลาทำงาน: 0:09:00.204293
2025-11-11 10:10:13 | INFO | 🔗 การเชื่อมต่อทั้งหมด: 0
2025-11-11 10:10:13 | INFO | 🟢 การเชื่อมต่อปัจจุบัน: 0
2025-11-11 10:10:13 | INFO | 📨 ข้อความทั้งหมด: 0
2025-11-11 10:10:13 | INFO | 📥 subscription ทั้งหมด: 0
2025-11-11 10:10:13 | INFO | 📂 Topic ที่มีการใช้งาน: 0
2025-11-11 10:10:13 | INFO | 💾 ข้อความที่เก็บไว้: 0
2025-11-11 10:10:13 | INFO | ================================
2025-11-11 10:10:43 | INFO | 📊 ===== สถิติ MQTT Broker =====
2025-11-11 10:10:43 | INFO | 🕒 เวลาทำงาน: 0:09:30.206305
2025-11-11 10:10:43 | INFO | 🔗 การเชื่อมต่อทั้งหมด: 0
2025-11-11 10:10:43 | INFO | 🟢 การเชื่อมต่อปัจจุบัน: 0
2025-11-11 10:10:43 | INFO | 📨 ข้อความทั้งหมด: 0
2025-11-11 10:10:43 | INFO | 📥 subscription ทั้งหมด: 0
